id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
111,2024-07-31 07:01:28.226459,7.4,2.8,6.1,1.9,2
110,2024-07-31 07:01:27.225015,7.7,2.8,6.7,2.0,2
109,2024-07-31 07:01:26.215344,5.0,2.3,3.3,1.0,1
108,2024-07-31 07:01:25.201964,5.9,3.0,4.2,1.5,1
107,2024-07-31 07:01:24.193606,4.5,2.3,1.3,0.3,0
106,2024-07-31 07:01:23.185739,6.3,2.8,5.1,1.5,2
105,2024-07-31 07:01:22.176829,4.8,3.0,1.4,0.1,0
104,2024-07-31 07:01:21.169417,6.8,3.2,5.9,2.3,2
103,2024-07-31 07:01:20.158836,7.7,3.8,6.7,2.2,2
102,2024-07-31 07:01:19.147992,5.1,3.3,1.7,0.5,0
101,2024-07-31 07:01:18.138929,6.5,3.0,5.2,2.0,2
100,2024-07-31 07:01:17.130272,5.1,3.8,1.5,0.3,0
99,2024-07-31 07:01:16.119901,5.8,2.7,3.9,1.2,1
98,2024-07-31 07:01:15.109115,5.6,3.0,4.1,1.3,1
97,2024-07-31 07:01:14.102644,6.7,3.0,5.2,2.3,2
96,2024-07-31 07:01:13.093863,5.4,3.4,1.5,0.4,0
95,2024-07-31 07:01:12.086056,5.8,4.0,1.2,0.2,0
94,2024-07-31 07:01:11.080411,4.6,3.1,1.5,0.2,0
93,2024-07-31 07:01:10.075089,7.7,2.8,6.7,2.0,2
92,2024-07-31 07:01:09.069427,5.1,3.7,1.5,0.4,0
91,2024-07-31 07:01:08.060892,7.6,3.0,6.6,2.1,2
90,2024-07-31 07:01:07.050335,5.4,3.4,1.7,0.2,0
89,2024-07-31 07:01:06.042064,5.8,2.7,5.1,1.9,2
88,2024-07-31 07:01:05.034520,6.1,3.0,4.6,1.4,1
87,2024-07-31 07:01:04.025555,5.7,4.4,1.5,0.4,0
86,2024-07-31 07:01:03.016424,7.3,2.9,6.3,1.8,2
85,2024-07-31 07:01:02.010825,6.3,2.5,5.0,1.9,2
84,2024-07-31 07:01:01.003399,5.4,3.9,1.7,0.4,0
83,2024-07-31 07:00:59.996729,4.9,2.4,3.3,1.0,1
82,2024-07-31 07:00:58.991889,5.0,3.4,1.5,0.2,0
81,2024-07-31 07:00:57.981396,4.6,3.2,1.4,0.2,0
80,2024-07-31 07:00:56.971535,5.4,3.7,1.5,0.2,0
79,2024-07-31 07:00:55.962422,5.2,4.1,1.5,0.1,0
78,2024-07-31 07:00:54.955156,5.3,3.7,1.5,0.2,0
77,2024-07-31 07:00:53.932868,5.1,3.8,1.6,0.2,0
76,2024-07-31 07:00:52.922247,5.0,2.3,3.3,1.0,1
75,2024-07-31 07:00:51.911754,6.3,2.7,4.9,1.8,2
74,2024-07-31 07:00:50.900221,5.5,2.5,4.0,1.3,1
73,2024-07-31 07:00:49.889777,6.4,3.2,4.5,1.5,1
72,2024-07-31 07:00:48.882599,5.4,3.0,4.5,1.5,1
71,2024-07-31 07:00:47.875741,6.1,3.0,4.6,1.4,1
70,2024-07-31 07:00:46.867656,5.1,3.7,1.5,0.4,0
69,2024-07-31 07:00:45.861962,7.7,3.0,6.1,2.3,2
68,2024-07-31 07:00:44.852433,5.0,3.3,1.4,0.2,0
67,2024-07-31 07:00:43.841923,5.4,3.4,1.5,0.4,0
66,2024-07-31 07:00:42.833812,5.1,3.8,1.5,0.3,0
