id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
2262,2024-07-30 06:39:55.283279,6.2,2.2,4.5,1.5,1
2261,2024-07-30 06:39:54.279720,6.3,2.8,5.1,1.5,2
2260,2024-07-30 06:39:53.275072,5.0,3.4,1.6,0.4,0
2259,2024-07-30 06:39:52.265444,5.6,3.0,4.1,1.3,1
2258,2024-07-30 06:39:51.255311,5.0,3.4,1.5,0.2,0
2257,2024-07-30 06:39:50.245809,5.0,2.0,3.5,1.0,1
2256,2024-07-30 06:39:49.236228,5.0,3.5,1.6,0.6,0
2255,2024-07-30 06:39:48.227100,5.9,3.2,4.8,1.8,1
2254,2024-07-30 06:39:47.222081,6.1,2.8,4.0,1.3,1
2253,2024-07-30 06:39:46.218311,5.7,2.8,4.5,1.3,1
2252,2024-07-30 06:39:45.212838,4.8,3.0,1.4,0.3,0
2251,2024-07-30 06:39:44.202687,6.3,2.5,5.0,1.9,2
2250,2024-07-30 06:39:43.198594,4.8,3.0,1.4,0.3,0
2249,2024-07-30 06:39:42.189097,5.5,2.4,3.7,1.0,1
2248,2024-07-30 06:39:41.179377,5.4,3.9,1.7,0.4,0
2247,2024-07-30 06:39:40.168206,6.0,2.9,4.5,1.5,1
2246,2024-07-30 06:39:39.161792,5.1,3.5,1.4,0.3,0
2245,2024-07-30 06:39:38.154938,6.7,3.1,4.7,1.5,1
2244,2024-07-30 06:39:37.141494,5.6,2.7,4.2,1.3,1
2243,2024-07-30 06:39:36.133115,5.8,4.0,1.2,0.2,0
2242,2024-07-30 06:39:35.129479,5.7,2.8,4.5,1.3,1
2241,2024-07-30 06:39:34.119583,7.7,3.8,6.7,2.2,2
2240,2024-07-30 06:39:33.107593,6.3,3.4,5.6,2.4,2
2239,2024-07-30 06:39:32.104119,6.5,3.0,5.5,1.8,2
2238,2024-07-30 06:39:31.099900,5.8,4.0,1.2,0.2,0
2237,2024-07-30 06:39:30.093829,6.1,2.9,4.7,1.4,1
2236,2024-07-30 06:39:29.087423,4.8,3.4,1.6,0.2,0
2235,2024-07-30 06:39:28.078120,7.7,3.8,6.7,2.2,2
2234,2024-07-30 06:39:27.068271,7.3,2.9,6.3,1.8,2
2233,2024-07-30 06:39:26.060744,7.4,2.8,6.1,1.9,2
2232,2024-07-30 06:39:25.054589,6.3,3.4,5.6,2.4,2
2231,2024-07-30 06:39:24.046226,6.4,2.8,5.6,2.1,2
2230,2024-07-30 06:39:23.042116,4.9,3.6,1.4,0.1,0
2229,2024-07-30 06:39:22.035462,5.5,2.4,3.7,1.0,1
2228,2024-07-30 06:39:21.029044,6.7,3.0,5.2,2.3,2
2227,2024-07-30 06:39:20.023648,5.4,3.0,4.5,1.5,1
2226,2024-07-30 06:39:19.018636,5.0,3.5,1.3,0.3,0
2225,2024-07-30 06:39:18.009271,6.9,3.2,5.7,2.3,2
2224,2024-07-30 06:39:17.002352,4.4,3.0,1.3,0.2,0
2223,2024-07-30 06:39:15.996934,5.4,3.9,1.3,0.4,0
2222,2024-07-30 06:39:14.991141,6.8,3.2,5.9,2.3,2
2221,2024-07-30 06:39:13.986003,4.7,3.2,1.3,0.2,0
2220,2024-07-30 06:39:12.982129,6.7,3.1,5.6,2.4,2
2219,2024-07-30 06:39:11.975182,5.0,3.4,1.6,0.4,0
2218,2024-07-30 06:39:10.971599,5.5,2.4,3.8,1.1,1
2217,2024-07-30 06:39:09.961528,6.3,3.4,5.6,2.4,2
2216,2024-07-30 06:39:08.956603,4.9,2.5,4.5,1.7,2
2215,2024-07-30 06:39:07.952493,5.0,3.5,1.6,0.6,0
2214,2024-07-30 06:39:06.942624,6.0,3.0,4.8,1.8,2
2213,2024-07-30 06:39:05.936615,6.4,2.8,5.6,2.2,2
2212,2024-07-30 06:39:04.930986,5.9,3.0,4.2,1.5,1
2211,2024-07-30 06:39:03.901684,6.3,3.3,6.0,2.5,2
2210,2024-07-30 06:39:02.897871,5.1,3.4,1.5,0.2,0
2209,2024-07-30 06:39:01.891230,7.7,3.8,6.7,2.2,2
2208,2024-07-30 06:39:00.885219,5.1,3.5,1.4,0.3,0
2207,2024-07-30 06:38:59.873659,6.7,2.5,5.8,1.8,2
2206,2024-07-30 06:38:58.863599,5.4,3.9,1.3,0.4,0
2205,2024-07-30 06:38:57.856597,6.9,3.2,5.7,2.3,2
2204,2024-07-30 06:38:56.848655,6.5,3.0,5.2,2.0,2
2203,2024-07-30 06:38:55.837926,7.7,2.8,6.7,2.0,2
2202,2024-07-30 06:38:54.830386,7.7,3.0,6.1,2.3,2
2201,2024-07-30 06:38:53.821829,5.6,2.8,4.9,2.0,2
2200,2024-07-30 06:38:52.818049,6.4,2.8,5.6,2.2,2
2199,2024-07-30 06:38:51.811029,5.0,3.2,1.2,0.2,0
2198,2024-07-30 06:38:50.806978,5.0,3.4,1.5,0.2,0
2197,2024-07-30 06:38:49.800755,4.8,3.0,1.4,0.3,0
2196,2024-07-30 06:38:48.795188,5.8,2.8,5.1,2.4,2
2195,2024-07-30 06:38:47.790845,5.4,3.4,1.5,0.4,0
2194,2024-07-30 06:38:46.786761,6.2,2.2,4.5,1.5,1
2193,2024-07-30 06:38:45.781794,6.1,2.8,4.7,1.2,1
2192,2024-07-30 06:38:44.774728,5.8,2.7,3.9,1.2,1
2191,2024-07-30 06:38:43.768835,6.4,3.2,4.5,1.5,1
2190,2024-07-30 06:38:42.765379,6.9,3.1,5.1,2.3,2
2189,2024-07-30 06:38:41.756284,4.4,3.2,1.3,0.2,0
2188,2024-07-30 06:38:40.752105,5.5,2.5,4.0,1.3,1
2187,2024-07-30 06:38:39.747083,5.0,3.6,1.4,0.2,0
2186,2024-07-30 06:38:38.740727,4.5,2.3,1.3,0.3,0
2185,2024-07-30 06:38:37.733385,5.5,2.4,3.8,1.1,1
2184,2024-07-30 06:38:36.726124,5.5,2.3,4.0,1.3,1
2183,2024-07-30 06:38:35.717164,6.7,3.1,4.7,1.5,1
2182,2024-07-30 06:38:34.707669,5.7,2.8,4.5,1.3,1
2181,2024-07-30 06:38:33.703403,5.1,3.5,1.4,0.2,0
2180,2024-07-30 06:38:32.698616,5.1,3.4,1.5,0.2,0
2179,2024-07-30 06:38:31.687062,7.7,3.0,6.1,2.3,2
2178,2024-07-30 06:38:30.679906,6.7,3.1,4.7,1.5,1
2177,2024-07-30 06:38:29.670416,5.9,3.0,4.2,1.5,1
2176,2024-07-30 06:38:28.661656,5.4,3.7,1.5,0.2,0
2175,2024-07-30 06:38:27.653907,5.1,3.8,1.5,0.3,0
2174,2024-07-30 06:38:26.645989,7.7,2.6,6.9,2.3,2
2173,2024-07-30 06:38:25.636500,6.8,3.0,5.5,2.1,2
2172,2024-07-30 06:38:24.626011,5.8,2.7,5.1,1.9,2
2171,2024-07-30 06:38:23.619760,5.6,2.9,3.6,1.3,1
2170,2024-07-30 06:38:22.615566,5.5,2.6,4.4,1.2,1
2169,2024-07-30 06:38:21.608068,6.4,2.8,5.6,2.2,2
2168,2024-07-30 06:38:20.604685,6.4,2.9,4.3,1.3,1
2167,2024-07-30 06:38:19.600799,6.0,2.2,5.0,1.5,2
2166,2024-07-30 06:38:18.594543,4.8,3.0,1.4,0.1,0
2165,2024-07-30 06:38:17.587479,5.0,3.5,1.6,0.6,0
2164,2024-07-30 06:38:16.584664,7.7,3.0,6.1,2.3,2
