id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
10035,2024-07-30 08:50:30.709398,5.1,3.8,1.6,0.2,0
10034,2024-07-30 08:50:29.702881,5.7,3.8,1.7,0.3,0
10033,2024-07-30 08:50:28.696974,4.8,3.4,1.9,0.2,0
10032,2024-07-30 08:50:27.682620,5.8,2.7,5.1,1.9,2
10031,2024-07-30 08:50:26.678674,4.6,3.4,1.4,0.3,0
10030,2024-07-30 08:50:25.673698,6.0,2.2,5.0,1.5,2
10029,2024-07-30 08:50:24.669306,7.2,3.2,6.0,1.8,2
10028,2024-07-30 08:50:23.665589,4.8,3.1,1.6,0.2,0
10027,2024-07-30 08:50:22.661051,5.0,3.5,1.6,0.6,0
10026,2024-07-30 08:50:21.654937,6.0,2.7,5.1,1.6,1
10025,2024-07-30 08:50:20.648345,6.4,3.2,5.3,2.3,2
10024,2024-07-30 08:50:19.632897,5.5,4.2,1.4,0.2,0
10023,2024-07-30 08:50:18.623765,6.3,3.4,5.6,2.4,2
10022,2024-07-30 08:50:17.616233,5.4,3.9,1.3,0.4,0
10021,2024-07-30 08:50:16.608154,4.6,3.4,1.4,0.3,0
10020,2024-07-30 08:50:15.601408,5.1,2.5,3.0,1.1,1
10019,2024-07-30 08:50:14.592002,6.4,2.8,5.6,2.1,2
10018,2024-07-30 08:50:13.585623,5.4,3.4,1.5,0.4,0
10017,2024-07-30 08:50:12.581144,6.8,3.0,5.5,2.1,2
10016,2024-07-30 08:50:11.574901,4.6,3.6,1.0,0.2,0
10015,2024-07-30 08:50:10.568506,6.3,3.3,6.0,2.5,2
10014,2024-07-30 08:50:09.564008,5.4,3.4,1.5,0.4,0
10013,2024-07-30 08:50:08.558055,6.7,2.5,5.8,1.8,2
10012,2024-07-30 08:50:07.548890,5.0,2.3,3.3,1.0,1
10011,2024-07-30 08:50:06.545298,4.3,3.0,1.1,0.1,0
10010,2024-07-30 08:50:05.536861,5.6,2.9,3.6,1.3,1
10009,2024-07-30 08:50:04.528631,5.7,2.8,4.1,1.3,1
10008,2024-07-30 08:50:03.518757,5.3,3.7,1.5,0.2,0
10007,2024-07-30 08:50:02.511818,6.0,3.0,4.8,1.8,2
10006,2024-07-30 08:50:01.505014,5.5,4.2,1.4,0.2,0
10005,2024-07-30 08:50:00.493163,6.4,2.8,5.6,2.2,2
10004,2024-07-30 08:49:59.482982,7.7,2.6,6.9,2.3,2
10003,2024-07-30 08:49:58.479585,7.7,2.6,6.9,2.3,2
10002,2024-07-30 08:49:57.472232,5.3,3.7,1.5,0.2,0
10001,2024-07-30 08:49:56.467524,5.0,3.4,1.6,0.4,0
10000,2024-07-30 08:49:55.458778,6.7,3.0,5.2,2.3,2
9999,2024-07-30 08:49:54.446200,4.9,3.6,1.4,0.1,0
9998,2024-07-30 08:49:53.441532,7.7,2.6,6.9,2.3,2
9997,2024-07-30 08:49:52.431696,4.8,3.4,1.6,0.2,0
9996,2024-07-30 08:49:51.423305,5.2,2.7,3.9,1.4,1
9995,2024-07-30 08:49:50.417538,7.7,2.6,6.9,2.3,2
9994,2024-07-30 08:49:49.406378,6.1,3.0,4.6,1.4,1
9993,2024-07-30 08:49:48.400793,7.3,2.9,6.3,1.8,2
9992,2024-07-30 08:49:47.393352,4.4,3.0,1.3,0.2,0
9991,2024-07-30 08:49:46.386547,5.4,3.4,1.7,0.2,0
9990,2024-07-30 08:49:45.381696,7.3,2.9,6.3,1.8,2
9989,2024-07-30 08:49:44.375531,5.8,2.7,5.1,1.9,2
9988,2024-07-30 08:49:43.364666,6.5,2.8,4.6,1.5,1
9987,2024-07-30 08:49:42.359531,4.5,2.3,1.3,0.3,0
9986,2024-07-30 08:49:41.351905,5.2,3.5,1.5,0.2,0
9985,2024-07-30 08:49:40.347673,5.0,2.0,3.5,1.0,1
9984,2024-07-30 08:49:39.344269,5.5,2.4,3.8,1.1,1
9983,2024-07-30 08:49:38.335165,7.3,2.9,6.3,1.8,2
9982,2024-07-30 08:49:37.325745,7.2,3.6,6.1,2.5,2
9981,2024-07-30 08:49:36.319325,5.7,2.8,4.5,1.3,1
9980,2024-07-30 08:49:35.311643,6.9,3.1,5.4,2.1,2
9979,2024-07-30 08:49:34.301720,5.0,2.0,3.5,1.0,1
9978,2024-07-30 08:49:33.297619,6.0,3.0,4.8,1.8,2
9977,2024-07-30 08:49:32.292227,5.8,2.7,5.1,1.9,2
9976,2024-07-30 08:49:31.286679,4.6,3.1,1.5,0.2,0
9975,2024-07-30 08:49:30.277045,5.7,3.8,1.7,0.3,0
